file,speaker,command,duration,mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_0_std,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_delta_0_mean,mfcc_delta_1_mean,mfcc_delta_2_mean,mfcc_delta_3_mean,mfcc_delta_4_mean,mfcc_delta_5_mean,mfcc_delta_6_mean,mfcc_delta_7_mean,mfcc_delta_8_mean,mfcc_delta_9_mean,mfcc_delta_10_mean,mfcc_delta_11_mean,mfcc_delta_12_mean,mfcc_delta2_0_mean,mfcc_delta2_1_mean,mfcc_delta2_2_mean,mfcc_delta2_3_mean,mfcc_delta2_4_mean,mfcc_delta2_5_mean,mfcc_delta2_6_mean,mfcc_delta2_7_mean,mfcc_delta2_8_mean,mfcc_delta2_9_mean,mfcc_delta2_10_mean,mfcc_delta2_11_mean,mfcc_delta2_12_mean,rolloff_mean,rolloff_std,centroid_mean,centroid_std,bandwidth_mean,bandwidth_std,contrast_mean,contrast_std,flatness_mean,flatness_std,rms_mean,rms_std,zcr_mean,zcr_std,f0_mean,f0_std,f0_min,f0_max,lpc_0,lpc_1,lpc_2,lpc_3,lpc_4,lpc_5,lpc_6,lpc_7,lpc_8,lpc_9,lpc_10,lpc_11,chroma_0_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,onset_mean,onset_std
confirm-transaction_eddy,eddy,confirm transaction,2.670294784580499,-435.43207,118.35719,3.806373,20.317139,4.916546,20.003723,-2.9942093,4.6333685,-6.6711445,-2.182316,1.1959714,-0.313381,-2.106885,152.22797,79.28666,34.54763,26.807463,25.823711,17.857744,13.094095,10.066627,11.773505,10.465962,8.941309,7.1536193,8.249594,-0.21911973,-0.27048868,-0.07168744,0.061886624,0.03444688,0.014363577,-0.049207877,-0.06777456,-0.05288838,-0.03940053,0.0045426297,0.029427635,0.008701848,-0.07045443,-0.14077756,-0.11052363,-0.054996934,-0.036637504,0.006839007,-0.0039503314,0.0076030577,0.024479076,0.0009941846,-0.022643095,-0.029966647,-0.025869591,2946.7074690193967,1888.8545844233633,1497.7425081789506,907.3781920428651,1589.7163010595038,624.3827925646781,20.69692675959919,13.34893012987028,0.0115720015,0.017311914,0.0348183,0.0352544,0.07786402209051724,0.057233806636354544,95.83545535586731,36.42054573023636,50.0,338.4844251781676,1.0,-2.6571598,3.8655627,-4.833571,5.3805094,-5.331578,4.914275,-4.271576,3.3644047,-2.4241896,1.6023977,-0.80906546,0.45382872,0.4396982,0.40781325,0.4398801,0.4737858,0.4757379,0.4733837,0.5204145,0.59938926,0.65029585,0.5932113,0.5518996,1.7884809,2.4329643
confirm-transaction_lievin,lievin,confirm transaction,2.043356009070295,-503.34973,147.79167,2.0730164,24.118195,5.4909806,7.908774,-12.157811,-0.9194663,-10.377935,-8.901263,-2.7244658,2.8198383,-7.71888,130.79747,61.348755,38.374718,16.896738,18.16636,17.117437,18.870022,10.191793,12.97186,10.4979515,11.098522,9.629416,11.843907,-1.2127931,-0.65801924,0.10124099,-0.1969464,-0.13611071,-0.12811774,0.046406772,0.095718704,-0.041922808,0.13095908,0.19229047,0.14047502,0.14555971,-1.2632921,-0.57755405,0.20514058,-0.084208615,0.19508204,0.12218316,-0.018573657,0.030702928,0.069962844,0.0017990054,-0.137045,-0.12771942,-0.093123145,2392.9679270540732,1564.0295947029308,1236.7409430126177,734.0974348687618,1464.590134520779,527.3813519352232,20.949723356963258,13.446518835566692,0.005161111,0.013861323,0.012340014,0.013509511,0.08076939957865169,0.06967013709874635,111.36881770756405,72.13622344795199,50.0,304.5558626131547,1.0,-2.8659039,4.3195505,-5.4719253,6.2428083,-6.2902822,5.900732,-5.1316113,3.872839,-2.5822804,1.4928076,-0.5441373,0.39568025,0.427321,0.47226077,0.5148908,0.5572447,0.62926203,0.5568547,0.4586519,0.33419654,0.31414828,0.3773252,0.3811474,2.006456,2.563289
confirm-transaction_ian,ian,confirm transaction,3.2714285714285714,-476.18384,133.4191,3.1622186,23.42176,13.424408,11.891366,-0.2858445,-0.046375897,-14.690103,0.19294365,-2.4722967,-8.398471,-1.2375253,148.82526,57.282898,45.202057,14.943041,21.119593,13.510837,14.947607,14.280024,13.288226,9.646881,8.419793,7.901792,7.8245063,0.5611187,0.3343934,-0.021439925,0.1595629,0.22748563,0.25182262,0.14152582,-0.0083049815,0.0026758343,0.0035654772,0.027921116,0.020490821,-0.0722701,-0.49330857,-0.42319626,-0.09151049,-0.084681,-0.03992161,0.023850651,-0.04077679,0.0032099797,0.03897849,-0.00025217247,0.057915464,0.09809964,0.06275871,2252.739569481383,1408.6138424407106,1178.8905623770522,662.140591371917,1385.7353295312219,446.7937677431077,20.398538138065593,12.85931323861782,0.0041330555,0.007168137,0.018267948,0.024170674,0.06576906028368794,0.05309569094251817,105.1602713053657,53.7297077561468,50.0,336.8624402079934,1.0,-3.1070085,4.901109,-6.027615,6.4947133,-5.974488,4.773158,-3.7439897,2.9992936,-2.0378778,1.1251543,-0.57307035,0.45402434,0.49620813,0.5844429,0.5307013,0.5409659,0.57938933,0.597582,0.55788416,0.5491826,0.5357289,0.49312723,0.45498115,1.6957796,2.2152917
confirm-transaction_placide,placide,confirm transaction,3.0882539682539685,-518.6749,100.29326,18.611664,21.555353,-0.30742544,7.8322663,-4.760574,6.859494,-11.762685,-1.1659133,0.9253115,-9.109604,-6.5012684,126.6241,58.941196,25.965206,15.441173,24.730135,18.046095,16.268972,10.258253,17.131495,9.352878,9.873729,10.981482,8.457332,-0.13122001,-0.11096115,-0.1082054,-0.10795742,0.01574428,0.0014514371,-0.006149765,0.00975258,-0.04687798,0.020721845,0.039530475,-0.023008987,0.005513597,-0.40585327,-0.37967744,-0.09194057,-0.022781141,-0.02860944,0.023114838,0.017255135,-0.015596541,0.02980165,0.026797868,-0.028601548,-0.01039868,0.010937642,3483.156301014459,2171.990429008427,1740.3739337547624,1142.3038808281574,1848.416725734406,585.9862202029394,21.978824214576086,14.957067826881689,0.012013637,0.020951716,0.012557955,0.017250154,0.11494286380597014,0.11449422019385971,127.44539052186019,49.59434623563431,50.0,365.7008471767785,1.0,-1.9471529,2.187206,-2.808661,3.023663,-2.9743233,2.8640938,-2.6156573,2.2277071,-1.7568045,1.5078838,-0.8333132,0.48194697,0.36295846,0.29637012,0.3365971,0.3878767,0.38948953,0.3890001,0.342089,0.33014905,0.3320334,0.3750902,0.43602282,1.4994812,1.7434095
yes-approve_eddy,eddy,yes approve,2.4882086167800455,-483.96542,113.81713,9.993121,25.620438,16.016653,7.021699,0.7432199,2.5975537,-7.903562,-1.5596751,-3.7477353,-7.9575634,-2.273097,117.00642,55.140278,32.627014,22.501844,17.18341,17.868273,14.550864,15.951792,10.108691,9.664666,8.872572,12.568728,6.265873,0.14775084,0.4201288,0.54826343,0.29494026,0.14898145,0.15767036,0.05765493,-0.026711566,-0.013065298,-0.008641223,0.017943647,0.058090996,0.008868276,-0.22586039,-0.17950976,-0.029075827,0.01468048,0.0491299,-0.02174474,-0.0359371,0.069131136,0.07557818,0.0027230491,-0.057459123,-0.07108469,-0.03336264,2509.3159993489585,1479.0895955438823,1332.6173921183117,813.7369696991303,1484.606272761526,410.2061416867154,20.03549915011331,12.835589429766731,0.0061933435,0.011725661,0.016966138,0.02941568,0.07874439380787036,0.06944116817210476,109.03691552384349,61.448990306994034,50.0,295.7579099648018,1.0,-2.7817318,4.0363793,-4.8151617,5.528787,-5.700791,5.129824,-4.5534716,3.8206038,-2.8247633,1.9174058,-1.1478784,0.52744853,0.5633097,0.579101,0.57142544,0.5518434,0.60473865,0.5844893,0.59339076,0.56648815,0.54235923,0.5021266,0.5071973,1.5954221,2.0675218
yes-approve_lievin,lievin,yes approve,2.8792743764172335,-429.0412,78.926285,13.621077,29.321093,6.627144,16.52983,-3.0528386,8.705694,-1.6696798,-0.009018194,2.1583822,-2.3601239,-0.6046976,161.81572,68.794266,28.455914,28.365742,18.298313,17.932821,17.324663,12.646206,9.419424,11.734721,9.62076,10.879582,6.6366677,-0.18469691,-0.15413433,-0.06298688,-0.12857561,-0.12623131,-0.03707316,-0.03401465,-0.07117142,-0.04228833,-0.016537728,-0.025953792,-0.012138983,4.5899393e-05,-0.07912509,-0.16289125,-0.15176734,-0.023251658,0.004407038,-0.054717414,-0.030271737,0.02096404,-0.0067152428,-0.037403785,-0.024658341,-0.026084052,-0.04216423,3396.905859375,2021.983882685928,1750.0986071173331,1070.9529455583145,1765.7022134025249,556.7387593439779,20.66667321457313,13.94122511799862,0.015491243,0.019465696,0.040689956,0.05586194,0.11029296875,0.10088329454092802,87.94614779950695,37.606468499670235,50.0,395.7897588488852,1.0,-2.0914474,2.957701,-3.9559886,4.032713,-4.0281777,3.8391738,-3.1548386,2.51239,-1.8535146,1.1183877,-0.5452393,0.44512165,0.4750609,0.53229606,0.5377416,0.5227357,0.50327915,0.48237288,0.54361564,0.63748795,0.6317751,0.5713173,0.48157114,1.4478709,2.7215767
yes-approve_ian,ian,yes approve,2.8535600907029477,-546.6059,84.87213,16.300737,26.168592,4.130244,10.68864,-9.315361,-1.2325748,-8.951713,-2.4274805,-7.667308,-3.1680007,-7.9725137,129.56409,56.892982,30.324467,28.337973,16.447271,18.204628,15.264108,9.212014,10.972789,8.717303,10.22514,9.828446,8.2248335,0.8831758,0.233144,0.495302,0.0046706474,0.0008740779,0.008740683,0.014931241,0.22424304,-0.12067432,0.22311354,-0.24009332,0.23895487,-0.12864488,0.19539745,-0.054652695,0.09138414,-0.067180686,-0.07042533,0.018427692,-0.07619235,0.011713865,-0.04871375,0.04084738,-0.101231486,0.07091953,-0.010422805,4003.0749809451218,2043.7385657632972,2109.71936405974,1365.8127530261595,1980.903747499344,557.6445881903139,21.488756420263716,14.498605059704623,0.012414582,0.015299092,0.0074463533,0.013696416,0.18963176448170732,0.2300158548359347,97.79864953928906,58.82054549876206,50.0,332.06606509590614,1.0,-2.0567558,2.9318519,-3.944157,4.3570805,-4.654665,4.583236,-4.0349936,3.0901432,-2.228046,1.3766774,-0.64492327,0.3457901,0.37560645,0.46576074,0.43155652,0.46922818,0.7105493,0.58045614,0.46913952,0.4344726,0.38941556,0.38370278,0.37652028,1.3463609,2.0145657
yes-approve_placide,placide,yes approve,1.5495691609977325,-472.28128,107.62775,17.374865,34.815228,0.5607904,16.015465,-8.928935,6.174409,-13.0210705,-4.3418756,-5.988595,-7.0815687,-3.4997609,103.228004,85.70466,27.002806,25.749071,21.37516,23.924057,17.920904,15.971545,12.044397,9.990014,9.651215,12.852378,8.6085825,2.7315547,1.6716806,0.3828564,0.4012397,0.15557133,0.26098102,0.023761995,0.16774969,-0.59109133,-0.18375412,0.19182456,-0.2837924,0.00037128,-0.9739741,0.59662175,0.5790852,0.2280839,0.36769012,-0.04291626,0.17379943,-0.025076482,0.15410717,-0.043004524,-0.0695198,-0.18077482,-0.031215027,3476.0053492304105,2552.350152079473,1978.4482049043281,1632.3364264018337,1663.4795287060203,705.933766004747,22.48938336003447,15.418194112469761,0.011741784,0.01701284,0.01914248,0.018440153,0.14722772854477612,0.15449829580580532,129.5680308327852,68.24331529600398,50.0,367.8373406141955,1.0,-1.8597046,2.0209458,-2.733888,2.7451525,-2.5419908,2.5745919,-2.1658645,2.098003,-1.9157555,1.3097018,-0.87935376,0.42132604,0.4292804,0.45540035,0.41958514,0.37168607,0.33324835,0.38654035,0.40317386,0.4205608,0.47833276,0.48789334,0.39685184,1.9722174,2.0046577
